Data Series,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 ,1973 ,1972 ,1971 ,1970 ,1969 ,1968 ,1967 ,1966 ,1965 ,1964 ,1963 ,1962 ,1961 
All Items,108.37,102.119,99.818,100,99.438,99.004,98.436,98.963,99.483,98.474,96.205,91.995,87.408,85.008,84.504,79.251,77.617,76.877,76.518,75.261,74.896,75.19,74.435,73.445,73.428,73.627,72.167,71.185,69.978,67.878,66.357,64.901,62.743,60.65,59.29,58.401,58.12,58.933,58.645,57.157,56.57,54.437,50.317,46.358,44.573,42.831,41.508,42.311,41.247,33.708,28.18,27.589,27.079,26.989,27.058,26.874,26.028,25.513,25.448,25.033,24.513,24.401
  Food,108.813,103.326,101.862,100,98.498,97.104,95.759,93.833,92.059,89.456,87.608,85.618,83.085,81.972,80.154,74.401,72.261,71.159,70.255,68.867,68.459,68.44,68.101,67.74,67.156,66.993,65.659,64.301,62.855,60.707,60.127,59.412,58.489,58.039,57.382,56.595,56.684,57.541,58.227,57.352,57.247,54.563,49.687,45.815,44.696,42.295,40.275,42.929,42.481,33.829,25.286,24.681,24.129,24.25,24.725,24.68,23.565,22.926,23.034,22.468,21.674,21.522
  Food Excl Food Serving Services,110.088,104.546,102.898,100,98.87,97.608,96.366,94.198,93.058,90.388,88.343,86.233,83.269,81.368,79.365,72.336,69.529,68.193,66.829,64.738,64.338,65.056,65.329,65.002,64.213,64.89,63.369,62.335,61.41,59.548,59.549,58.934,58.259,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Bread & Cereals,106.683,102.592,101.93,100,98.501,97.127,96.535,95.333,94.121,92.669,91.293,89.618,87.965,86.271,83.338,71.937,69.574,68.749,67.851,65.521,64.235,66.684,67.273,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Rice,98.426,99.802,101.754,100,96.202,94.898,95.374,94.643,95.516,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Flour,97.892,95.925,97.863,100.001,100.188,102.175,101.847,100.74,101.634,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Bread,107.311,102.135,101.012,100,98.919,97.328,96.759,95.008,93.19,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Noodles & Pasta,110.189,103.317,102.042,100,100.67,100.159,100.089,99.086,100.33,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Biscuits & Cookies,112.422,104.667,104.24,100,98.736,97.186,96.104,94.159,92.728,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Cakes & Pastries,108.106,103.838,102.306,100,98.54,96.653,95.252,94.545,91.787,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Other Cereals,104.828,102.45,101.159,100,99.109,99.24,99.544,98.213,97.911,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Meat,115.94,105.841,105.503,100,99.855,99.943,99.383,97.342,96.707,95.087,94.161,92.425,89.86,88.314,84.038,75.76,73.97,73.083,69.565,64.62,62.44,61.981,62.255,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
